0;1;2;3;4;5;6;7;8;9;10;11;12
-0.858382819;-0.665722496;-0.60997429;-0.777393457;-0.936129872;0.436807677;0.55972431;-0.556915765;-0.276165684;2.151767629;-0.599771473;-0.374762645;0.97213454
-0.050990924;0.168094012;-0.308217752;-0.369743366;-0.296546334;-0.127623632;-0.215497969;-0.317317887;0.039931211;0.301935297;-0.283504761;-0.323874796;-0.403497603
-0.559639588;-0.372873652;-0.461288977;-0.677271226;2.227743812;-0.815155968;-0.327333314;-0.473403648;-0.104535069;1.005447311;-0.464050081;-0.651489869;-0.427795317
-0.638972799;-0.512583779;-0.641809291;-0.809380328;-0.129194016;-0.032023898;-0.257436223;-0.617076653;-0.480704632;0.889697744;-0.674154485;-0.612926669;1.525643638
0.872008519;0.627876612;0.122206104;0.103464662;0.886264717;-0.711698722;-0.318437321;-0.129895244;0.161513903;-1.206628687;-0.022719941;-0.648740846;-0.853195299
-1.027399544;-1.137618097;-1.02800323;-0.883465117;-0.744087385;0.931830959;0.534307186;-0.960068597;-1.228233461;0.329602987;-0.930941982;0.68088323;0.181171554
1.596305947;1.467914616;1.420064661;1.486547932;-0.319220135;-0.435376202;-0.240279665;1.332521693;1.187343816;-1.043501639;1.21037473;-0.644601435;-0.303779897
1.452128073;1.358396786;1.624358573;2.042541417;0.12768216;-0.783725919;-0.685079333;2.379995595;2.001320416;-0.979760485;2.541620865;-0.301598516;-1.443058929
1.542976324;1.351313647;1.864626965;2.115310181;0.764712049;-0.876706482;-0.818519233;2.152810441;1.785201327;-1.135437606;2.266460691;-0.563178537;-1.009505901
-1.032396697;-1.201366349;-1.076694925;-0.872163189;-1.47676363;1.367922898;0.341137044;-0.965375598;-1.234707897;-0.265580917;-0.938662324;0.816892207;0.070166991
1.508176147;1.399937314;1.245088077;1.412771042;1.607828405;-0.906826947;-0.397865833;0.938546637;0.547666511;-1.006851073;0.904904656;-0.40462339;-0.402541435
1.133389632;1.011656295;0.957163786;1.042347093;1.18574565;-0.906826947;-0.322885317;0.992459624;0.87778397;-0.996476112;1.012112387;-0.24955591;-0.621722026
1.187618742;1.327897623;1.659937664;1.724207249;0.538283871;-0.705150795;-0.580869125;1.90054277;1.695518892;-0.553287682;1.856294962;-0.54635184;0.111489248
1.052755563;1.110299423;1.409844332;1.699659648;-0.11561184;-0.452400812;-0.094131202;1.436610146;1.506370458;-0.665517255;1.250774011;-0.699322041;0.428620162
-1.040991802;-1.18282519;-1.05429333;-0.902634395;-1.016690662;1.117792086;0.672830511;-0.956668744;-1.229845544;0.043053869;-0.930198785;0.830586354;-1.083108237
-0.855497462;-0.844292808;-0.830038311;-0.870935561;-2.121411501;3.399089857;6.418371368;-0.732126142;-0.263966167;0.789176146;-0.74905328;-1.062567465;1.372753638
